Dates,CPI,SPY,Unemployment,Home Values
01-01-2005,190.7,105.55,5.3,436837
01-02-2005,191.8,102.97,5.4,443513
01-03-2005,193.3,101.11,5.2,450413
01-04-2005,194.6,104.6,5.2,458365
01-05-2005,194.4,104.72,5.1,465652
01-06-2005,194.5,108.37,5,472231
01-07-2005,195.4,106.72,5,478611
01-08-2005,196.4,106.82,4.9,485241
01-09-2005,198.8,105.05,5,491879
01-10-2005,199.2,109.78,5,498341
01-11-2005,197.6,109.16,5,503102
01-12-2005,196.8,111.52,4.9,507522
01-01-2006,198.3,112.82,4.7,511096
01-02-2006,198.7,113.32,4.8,514407
01-03-2006,199.8,113.93,4.7,517669
01-04-2006,201.5,110.27,4.7,520522
01-05-2006,202.5,111.06,4.6,523489
01-06-2006,202.9,111.22,4.6,525182
01-07-2006,203.5,114.25,4.7,525456
01-08-2006,203.9,116.32,4.7,525191
01-09-2006,202.9,120.41,4.5,523599
01-10-2006,201.8,122.37,4.4,522235
01-11-2006,201.5,123.8,4.5,520817
01-12-2006,201.8,124.25,4.4,519702
01-01-2007,202.416,121.38,4.6,518829
01-02-2007,203.499,123.85,4.5,517649
01-03-2007,205.352,129.3,4.4,515863
01-04-2007,206.686,134.04,4.5,513626
01-05-2007,207.949,131.46,4.4,509903
01-06-2007,208.352,126.47,4.6,505971
01-07-2007,208.299,128.62,4.7,500752
01-08-2007,207.917,132.94,4.6,495657
01-09-2007,208.49,134.14,4.7,489715
01-10-2007,208.936,129.08,4.7,483593
01-11-2007,210.177,127.66,4.7,477547
01-12-2007,210.036,116.21,5,470904
01-01-2008,211.08,118.13,5,464521
01-02-2008,211.693,114.37,4.9,456471
01-03-2008,213.528,121.34,5.1,446819
01-04-2008,214.823,121.81,5,435600
01-05-2008,216.632,111.42,5.4,424103
01-06-2008,218.815,110.99,5.6,413409
01-07-2008,219.964,113.28,5.8,402362
01-08-2008,219.086,98.886,6.1,391960
01-09-2008,218.783,84.311,6.1,382506
01-10-2008,216.573,77.21,6.5,374585
